game,mechanism,model,delta_cooperation_pp,cooperation_definition,baseline_welfare_normalized_pp,treatment_welfare_normalized_pp,delta_net_welfare_normalized_pp,treatment_welfare_sd_pp,n_runs,baseline_welfare_method,treatment_payoff_equality_level,delta_equality,delta_equality_note
PD,reputation,Grok-4.3,0.0,cooperation,0.0,0.0,0.0,0.0,3,PD independence reconstruction from marginal cooperation,0.845949074074074,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reputation,Kimi-K2.6,1.388888888888889,cooperation,0.0,1.9444444444444444,1.9444444444444444,0.5242940580049132,3,PD independence reconstruction from marginal cooperation,0.8330084631738618,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reward,Claude-Opus-4-6,0.0,cooperation,100.0,100.0,0.0,0.0,3,PD independence reconstruction from marginal cooperation,0.846412037037037,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reward,GLM-5.1,8.333333333333334,cooperation,0.0,11.805555555555555,11.805555555555555,2.8741947342465113,3,PD independence reconstruction from marginal cooperation,0.7596736411885775,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reward,GPT-5.4,0.0,cooperation,0.0,0.0,0.0,0.0,3,PD independence reconstruction from marginal cooperation,0.8428240740740742,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reward,Gemini-3.1-Pro-Preview,82.91777777777779,cooperation,7.171902000000001,93.19444444444444,86.02254244444444,1.0276839296492193,3,PD independence reconstruction from marginal cooperation,0.820549563684088,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reward,Grok-4.3,3.75,cooperation,0.0,5.486111111111111,5.486111111111111,0.24056261216234423,3,PD independence reconstruction from marginal cooperation,0.8157839257531859,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reward,Kimi-K2.6,70.13888888888887,cooperation,0.0,82.01388888888889,82.01388888888889,2.7743033826997494,3,PD independence reconstruction from marginal cooperation,0.8432324150507751,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,punishment,Claude-Opus-4-6,72.75,contribution,2.25,75.0,72.75,0.0,3,exact PGG accounting identity,1.0,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,punishment,GLM-5.1,98.20486111111111,contribution,0.0,93.62152777777779,93.62152777777779,3.9136396153172153,2,exact PGG accounting identity,0.9784383741323137,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,punishment,GPT-5.4,0.0,contribution,0.0,0.0,0.0,0.0,3,exact PGG accounting identity,1.0,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,punishment,Gemini-3.1-Pro-Preview,99.9537037037037,contribution,0.0,99.78036175710594,99.78036175710594,0.38042459597766415,3,exact PGG accounting identity,0.9988836253735398,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,punishment,Grok-4.3,24.65277777777778,contribution,0.0,-107.53229974160207,-107.53229974160207,15.921322259856014,2,exact PGG accounting identity,,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,punishment,Kimi-K2.6,0.1388888888888889,contribution,0.0,0.1388888888888889,0.1388888888888889,0.2405626121623441,3,exact PGG accounting identity,0.9988267632072941,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reputation,Claude-Opus-4-6,47.75,contribution,2.25,51.16279069767441,48.91279069767441,0.0,3,exact PGG accounting identity,0.9992283950617283,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reputation,GLM-5.1,2.0694444444444446,contribution,0.0,2.0995908699397066,2.0995908699397066,3.397510012610559,3,exact PGG accounting identity,0.9966336559342196,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reputation,GPT-5.4,97.08333333333333,contribution,0.0,98.20736434108532,98.20736434108532,0.7017132801358767,3,exact PGG accounting identity,0.9984726683634019,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reputation,Gemini-3.1-Pro-Preview,99.8611111111111,contribution,0.0,100.8559431524548,100.8559431524548,0.27007973171148963,3,exact PGG accounting identity,0.9995004349630879,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reputation,Grok-4.3,0.0,contribution,0.0,0.0,0.0,0.0,3,exact PGG accounting identity,1.0,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reputation,Kimi-K2.6,0.7754629629629631,contribution,0.0,0.776001291989664,0.776001291989664,0.40526281903043987,3,exact PGG accounting identity,0.9937596509218413,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reward,Claude-Opus-4-6,11.502314814814815,contribution,2.25,18.031492248062015,15.781492248062015,5.382097518327285,3,exact PGG accounting identity,0.9060079598407457,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reward,GLM-5.1,10.032407407407407,contribution,0.0,12.70574935400517,12.70574935400517,2.7325193681160944,3,exact PGG accounting identity,0.9318874196780209,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reward,GPT-5.4,2.314814814814815,contribution,0.0,2.3175064599483206,2.3175064599483206,1.4299039427316709,3,exact PGG accounting identity,0.9918647107292334,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reward,Gemini-3.1-Pro-Preview,3.5648148148148144,contribution,0.0,3.6321059431524545,3.6321059431524545,0.8133492461057077,3,exact PGG accounting identity,0.9954550102442189,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reward,Grok-4.3,0.0,contribution,0.0,0.0,0.0,0.0,3,exact PGG accounting identity,1.0,,not identified: matched no-institution agent-level payoff baseline unavailable
PGG,reward,Kimi-K2.6,0.41203703703703703,contribution,0.0,0.4933247200689063,0.4933247200689063,0.38333225739952564,3,exact PGG accounting identity,0.9939194378050121,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,punishment,Claude-Opus-4-6,39.899845679012344,mean of Sender and Receiver changes,27.53,87.18055555555556,59.650555555555556,1.774139071336976,3,exact TG accounting identity from Sender transfer,0.871343800648296,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,punishment,GLM-5.1,40.481757412594966,mean of Sender and Receiver changes,30.21,48.166666666666664,17.956666666666663,1.0791407475794919,3,exact TG accounting identity from Sender transfer,0.8501647370879488,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,punishment,GPT-5.4,50.1785073701093,mean of Sender and Receiver changes,11.12,73.6712962962963,62.55129629629631,3.2468626040452233,3,exact TG accounting identity from Sender transfer,0.873590361142892,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,punishment,Gemini-3.1-Pro-Preview,54.81611111111111,mean of Sender and Receiver changes,27.68,99.9861111111111,72.30611111111111,0.02405626121623714,3,exact TG accounting identity from Sender transfer,0.8759071971581042,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,punishment,Grok-4.3,76.97720831102416,mean of Sender and Receiver changes,3.7,74.5324074074074,70.8324074074074,8.136925404669276,3,exact TG accounting identity from Sender transfer,0.8671958487180159,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,punishment,Kimi-K2.6,51.67635978201419,mean of Sender and Receiver changes,11.73,78.06018518518519,66.33018518518519,1.066855934211428,3,exact TG accounting identity from Sender transfer,0.8686050737477272,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reputation,Claude-Opus-4-6,38.59127156072375,mean of Sender and Receiver changes,27.53,92.14814814814815,64.61814814814815,1.042437986036829,3,exact TG accounting identity from Sender transfer,0.8817905568574035,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reputation,GLM-5.1,55.09237864457697,mean of Sender and Receiver changes,30.21,94.06481481481482,63.85481481481482,0.624433900003238,3,exact TG accounting identity from Sender transfer,0.8828971217370825,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reputation,GPT-5.4,52.53359874625379,mean of Sender and Receiver changes,11.12,86.9537037037037,75.83370370370369,1.1805827883569253,3,exact TG accounting identity from Sender transfer,0.873856883640621,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reputation,Gemini-3.1-Pro-Preview,45.45922389630566,mean of Sender and Receiver changes,27.68,94.9074074074074,67.22740740740741,1.2602460730385328,3,exact TG accounting identity from Sender transfer,0.8835077526156478,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reputation,Grok-4.3,53.58009755145138,mean of Sender and Receiver changes,3.7,68.7037037037037,65.00370370370369,3.6521528123298825,3,exact TG accounting identity from Sender transfer,0.8317831820065961,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reputation,Kimi-K2.6,54.19370757692854,mean of Sender and Receiver changes,11.73,91.46296296296298,79.73296296296297,0.9900482176394413,3,exact TG accounting identity from Sender transfer,0.8879437943734275,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reward,Claude-Opus-4-6,23.151223544973544,mean of Sender and Receiver changes,27.53,108.15277777777777,80.62277777777777,0.6184845577281174,3,exact TG accounting identity from Sender transfer,0.9369230459020592,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reward,GLM-5.1,28.071346590220735,mean of Sender and Receiver changes,30.21,88.33333333333333,58.12333333333333,1.9530069408763289,3,exact TG accounting identity from Sender transfer,0.9432419590880142,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reward,GPT-5.4,16.824509481249486,mean of Sender and Receiver changes,11.12,28.944444444444443,17.824444444444445,2.5861319965739775,3,exact TG accounting identity from Sender transfer,0.9395903508296174,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reward,Gemini-3.1-Pro-Preview,47.55872714486638,mean of Sender and Receiver changes,27.68,146.4722222222222,118.7922222222222,0.3342002615421056,3,exact TG accounting identity from Sender transfer,0.9296572050842068,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reward,Grok-4.3,38.541204174639844,mean of Sender and Receiver changes,3.7,58.84722222222223,55.147222222222226,1.0054826554299048,3,exact TG accounting identity from Sender transfer,0.9185558156219417,,not identified: matched no-institution agent-level payoff baseline unavailable
TG,reward,Kimi-K2.6,32.86243448887347,mean of Sender and Receiver changes,11.73,69.875,58.144999999999996,3.145764348029479,3,exact TG accounting identity from Sender transfer,0.92830782591419,,not identified: matched no-institution agent-level payoff baseline unavailable
