game,outcome,mechanism,model,baseline_pp,treatment_mean_pp,treatment_sd_pp,n_runs,delta_pp,ci95_low_pp,ci95_high_pp,ci95_low_unbounded_pp,ci95_high_unbounded_pp,ci_note
PD,cooperation,reward,Claude-Opus-4-6,100.0,100.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,punishment,Claude-Opus-4-6,100.0,100.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reputation,Kimi-K2.6,0.0,1.388888888888889,0.24056261216234412,3,1.388888888888889,0.7912982319866471,1.986479545791131,0.7912982319866471,1.986479545791131,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reward,Kimi-K2.6,0.0,70.13888888888887,2.6787918780535995,3,70.13888888888887,63.4844009627679,76.79337681500985,63.4844009627679,76.79337681500985,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,punishment,Kimi-K2.6,0.0,1.3888888888888886,0.6364688465216443,3,1.3888888888888886,0.0,2.9699651528679447,-0.19218737509016748,2.9699651528679447,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reputation,Grok-4.3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reward,Grok-4.3,0.0,3.75,0.0,3,3.75,3.75,3.75,3.75,3.75,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,punishment,Grok-4.3,0.0,36.111111111111114,3.154949081000153,3,36.111111111111114,28.27378312044371,43.94843910177852,28.27378312044371,43.94843910177852,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reputation,GLM-5.1,0.0,2.0694444444444446,3.346703509831137,3,2.0694444444444446,0.0,10.383116843160137,-6.244227954271247,10.383116843160137,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reward,GLM-5.1,0.0,10.032407407407407,2.111354761768176,3,10.032407407407407,4.787511420880443,15.277303393934371,4.787511420880443,15.277303393934371,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,punishment,GLM-5.1,0.0,98.20486111111111,1.1637799107028661,2,98.20486111111111,87.74871346342215,100.0,87.74871346342215,108.66100875880008,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reputation,GPT-5.4,0.0,97.08333333333333,0.6944444444444429,3,97.08333333333333,95.35823770019476,98.8084289664719,95.35823770019476,98.8084289664719,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reward,GPT-5.4,0.0,2.314814814814815,1.425444844290801,3,2.314814814814815,0.0,5.855816108493789,-1.2261864788641597,5.855816108493789,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,punishment,GPT-5.4,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reputation,Gemini-3.1-Pro-Preview,0.0,99.8611111111111,0.24056261216234678,3,99.8611111111111,99.26352045420884,100.0,99.26352045420884,100.45870176801336,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reward,Gemini-3.1-Pro-Preview,0.0,3.5648148148148144,0.7649403537897363,3,3.5648148148148144,1.664597634749639,5.46503199487999,1.664597634749639,5.46503199487999,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,punishment,Gemini-3.1-Pro-Preview,0.0,99.9537037037037,0.08018753738744619,3,99.9537037037037,99.75450681806961,100.0,99.75450681806961,100.15290058933778,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reputation,Claude-Opus-4-6,2.25,50.0,0.0,3,47.75,47.75,47.75,47.75,47.75,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reward,Claude-Opus-4-6,2.25,13.752314814814815,3.7559387987942605,3,11.502314814814815,2.1720456018193808,20.83258402781025,2.1720456018193808,20.83258402781025,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,punishment,Claude-Opus-4-6,2.25,75.0,0.0,3,72.75,72.75,72.75,72.75,72.75,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reputation,Kimi-K2.6,0.0,0.7754629629629631,0.40542314555872677,3,0.7754629629629631,0.0,1.7825898880493591,-0.23166396212343277,1.7825898880493591,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reward,Kimi-K2.6,0.0,0.41203703703703703,0.3595943931320627,3,0.41203703703703703,0.0,1.305319029939298,-0.4812449558652239,1.305319029939298,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,punishment,Kimi-K2.6,0.0,0.1388888888888889,0.2405626121623441,3,0.1388888888888889,0.0,0.7364795457911308,-0.4587017680133531,0.7364795457911308,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reputation,Grok-4.3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,reward,Grok-4.3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PGG,contribution,punishment,Grok-4.3,0.0,24.65277777777778,2.3570226039551603,2,24.65277777777778,3.475769883724272,45.82978567183129,3.475769883724272,45.82978567183129,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reputation,GLM-5.1,9.85,56.17994247433911,0.7734933857030822,3,46.329942474339106,44.40847838514845,48.25140656352976,44.40847838514845,48.25140656352976,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reward,GLM-5.1,9.85,43.04991540266369,0.36705788139639484,3,33.19991540266369,32.28809307710303,34.111737728224355,32.28809307710303,34.111737728224355,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,punishment,GLM-5.1,9.85,56.82907038074549,1.3103493746650325,3,46.97907038074549,43.72398208361196,50.23415867787902,43.72398208361196,50.23415867787902,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reputation,GPT-5.4,10.96,40.19349378880386,0.028292076151990534,3,29.233493788803862,29.16321237549186,29.303775202115865,29.16321237549186,29.303775202115865,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reward,GPT-5.4,10.96,36.64568562916564,0.6659251076424806,3,25.68568562916564,24.031435956090057,27.339935302241223,24.031435956090057,27.339935302241223,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,punishment,GPT-5.4,10.96,43.83516288836677,1.034575703878211,3,32.875162888366766,30.30513436673411,35.445191409999424,30.30513436673411,35.445191409999424,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reputation,Gemini-3.1-Pro-Preview,26.16,49.85104038520391,0.12165199567157332,3,23.69104038520391,23.388840075050208,23.99324069535761,23.388840075050208,23.99324069535761,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reward,Gemini-3.1-Pro-Preview,26.16,49.929676511954995,0.12180385425941195,3,23.769676511954994,23.467098964156396,24.072254059753593,23.467098964156396,24.072254059753593,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,punishment,Gemini-3.1-Pro-Preview,26.16,63.47222222222223,0.1582222915799588,3,37.31222222222223,36.91917626087377,37.705268183570695,36.91917626087377,37.705268183570695,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reputation,Claude-Opus-4-6,37.57,50.134394973299344,0.16026299045162276,3,12.564394973299343,12.166279634925516,12.96251031167317,12.166279634925516,12.96251031167317,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reward,Claude-Opus-4-6,37.57,51.860780423280424,0.2852874024758615,3,14.290780423280424,13.582087228111625,14.999473618449223,13.582087228111625,14.999473618449223,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,punishment,Claude-Opus-4-6,37.57,45.31635802469136,0.7973867874054914,3,7.746358024691361,5.765539435270483,9.727176614112238,5.765539435270483,9.727176614112238,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reputation,Kimi-K2.6,20.69,49.34445219089414,0.25184417724718833,3,28.654452190894137,28.028836572717413,29.28006780907086,28.028836572717413,29.28006780907086,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reward,Kimi-K2.6,20.69,49.728202311080274,2.851574515115557,3,29.038202311080273,21.954498520303343,36.121906101857206,21.954498520303343,36.121906101857206,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,punishment,Kimi-K2.6,20.69,55.420867712176516,1.1390586857735243,3,34.73086771217652,31.9012890749848,37.560446349368235,31.9012890749848,37.560446349368235,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reputation,Grok-4.3,0.74,42.89649139919906,0.7356959430213775,3,42.156491399199055,40.32892136278058,43.984061435617534,40.32892136278058,43.984061435617534,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,reward,Grok-4.3,0.74,46.98074168261302,0.5494314400439816,3,46.24074168261302,44.87587832239539,47.60560504283065,44.87587832239539,47.60560504283065,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,receiver,punishment,Grok-4.3,0.74,66.82034254797424,3.5392592118749056,3,66.08034254797424,57.28833526820498,74.87234982774349,57.28833526820498,74.87234982774349,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reputation,GLM-5.1,30.21,94.06481481481482,0.624433900003238,3,63.85481481481482,62.30363501534067,65.40599461428897,62.30363501534067,65.40599461428897,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reward,GLM-5.1,30.21,53.15277777777778,1.1890219292124753,3,22.942777777777778,19.989083563359543,25.896471992196012,19.989083563359543,25.896471992196012,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,punishment,GLM-5.1,30.21,64.19444444444444,0.6637668414082483,3,33.98444444444444,32.33555620191324,35.63333268697564,32.33555620191324,35.63333268697564,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reputation,GPT-5.4,11.12,86.95370370370371,1.1805827883569182,3,75.8337037037037,72.90097347733926,78.76643393006815,72.90097347733926,78.76643393006815,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reward,GPT-5.4,11.12,19.083333333333332,1.5178338000072487,3,7.963333333333333,4.192825150612743,11.733841516053923,4.192825150612743,11.733841516053923,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,punishment,GPT-5.4,11.12,78.60185185185185,3.463470452020122,3,67.48185185185184,58.87811428856232,76.08558941514137,58.87811428856232,76.08558941514137,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reputation,Gemini-3.1-Pro-Preview,27.68,94.9074074074074,1.2602460730385379,3,67.22740740740741,64.09678261132592,70.3580322034889,64.09678261132592,70.3580322034889,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reward,Gemini-3.1-Pro-Preview,27.68,99.02777777777777,0.4811252243246854,3,71.34777777777776,70.15259646397328,72.32,70.15259646397328,72.54295909158225,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,punishment,Gemini-3.1-Pro-Preview,27.68,100.0,0.0,3,72.32,72.32,72.32,72.32,72.32,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reputation,Claude-Opus-4-6,27.53,92.14814814814815,1.0424379860368218,3,64.61814814814815,62.028588634905105,67.2077076613912,62.028588634905105,67.2077076613912,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reward,Claude-Opus-4-6,27.53,59.541666666666664,0.3410563654946886,3,32.01166666666666,31.164435687319305,32.85889764601402,31.164435687319305,32.85889764601402,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,punishment,Claude-Opus-4-6,27.53,99.58333333333333,0.04811252243246608,3,72.05333333333333,71.93381520195288,72.17285146471377,71.93381520195288,72.17285146471377,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reputation,Kimi-K2.6,11.73,91.46296296296295,0.990048217639442,3,79.73296296296294,77.27354684910408,82.19237907682181,77.27354684910408,82.19237907682181,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reward,Kimi-K2.6,11.73,48.416666666666664,1.3737367934862115,3,36.68666666666667,33.27411529199088,40.09921804134245,33.27411529199088,40.09921804134245,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,punishment,Kimi-K2.6,11.73,80.35185185185186,1.0816701382888672,3,68.62185185185186,65.93483426968758,71.30886943401613,65.93483426968758,71.30886943401613,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reputation,Grok-4.3,3.7,68.70370370370371,3.6521528123298763,3,65.0037037037037,55.93125317363246,74.07615423377494,55.93125317363246,74.07615423377494,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,reward,Grok-4.3,3.7,34.541666666666664,0.7534642216677169,3,30.841666666666665,28.969957779190477,32.71337555414285,28.969957779190477,32.71337555414285,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
TG,sender,punishment,Grok-4.3,3.7,91.57407407407408,5.134708008976627,3,87.87407407407407,75.11875227030684,96.3,75.11875227030684,100.6293958778413,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
